trial_order,variables,var_mapping,uid,trial_set,trial,core_program,variant,step,step_id,text1,text2,response_needed,expected_response,is_loop,loop_type,loop_type_switch,n_iterations,n_loop_lines,updated_var
11,"a,i",1=a;2=i,54,1,6,3,FFWFFWFF,9,9,"for i in [1, 2, 3]:
   a *= 2
   a -= 9",,1,"[16, 7, 14, 5, 10, 1]",1,for,0,3,2,a
12,"a,i",1=a;2=i,55,1,1007,4,FWWWFFFW,1,1,a = 11,,0,,0,,,1,0,a
12,"a,i",1=a;2=i,56,1,1007,4,FWWWFFFW,2,2,"for i in [1, 2]:
   a += 4
   a /= 3",,1,"[15, 5, 9, 3]",1,for,,2,2,a
12,"a,i",1=a;2=i,57,1,1007,4,FWWWFFFW,3,3,"while a <= 11:
   a = round_down(a*2.5)",,1,"[7, 17]",1,while,1,2,1,a
12,"a,i",1=a;2=i,58,1,1007,4,FWWWFFFW,4,4,"while a >= 3:
   a = average(a,1)",,1,"[9, 5, 3, 2]",1,while,0,4,1,a
12,"a,i",1=a;2=i,59,1,1007,4,FWWWFFFW,5,5,"while a <= 10:
   a *= 3
   a -= 1",,1,"[6, 5, 15, 14]",1,while,0,2,2,a
12,"a,i",1=a;2=i,60,1,1007,4,FWWWFFFW,6,6,"for i in [1, 2, 3]:
   a -= 5
   a += 1",,1,"[9, 10, 5, 6, 1, 2]",1,for,1,3,2,a
12,"a,i",1=a;2=i,61,1,1007,4,FWWWFFFW,7,7,"for i in [1, 2]:
   a *= 3",,1,"[6, 18]",1,for,0,2,1,a
12,"a,i",1=a;2=i,62,1,1007,4,FWWWFFFW,8,8,"for i in [1, 2]:
   a /= 3
   a *= 2",,1,"[6, 12, 4, 8]",1,for,0,2,2,a
12,"a,i",1=a;2=i,63,1,1007,4,FWWWFFFW,9,9,"while a <= 17:
   a += 4",,1,"[12, 16, 20]",1,while,1,3,1,a
